user_id,name,email,phone,city,area,orders,vip_status
1,Usman Khan,user1@gmail.com,03695890821,Karachi,PECHS,10,No
2,Ahmed Ali,user2@gmail.com,03557524197,Karachi,Nazimabad,7,No
3,Zainab Ali,user3@gmail.com,03259485470,Karachi,Malir,14,No
4,Saad Ahmed,user4@gmail.com,03901044660,Karachi,Saddar,20,Yes
5,Saad Ahmed,user5@gmail.com,03660094211,Karachi,DHA,17,No
6,Ali Hamza,user6@gmail.com,03114591238,Karachi,Nazimabad,15,Yes
7,Hassan Raza,user7@gmail.com,03551491108,Karachi,Saddar,16,Yes
8,Muhammad Bilal,user8@gmail.com,03291023788,Karachi,Clifton,4,Yes
9,Saad Ahmed,user9@gmail.com,03357570550,Karachi,Nazimabad,0,Yes
10,Maryam Ahmed,user10@gmail.com,03456305458,Karachi,Liaquatabad,0,No
11,Zainab Ali,user11@gmail.com,03249682057,Karachi,Gulshan-e-Iqbal,9,No
12,Usman Khan,user12@gmail.com,03872710491,Karachi,North Nazimabad,12,No
13,Ahmed Ali,user13@gmail.com,03489491216,Karachi,Korangi,17,No
14,Ayesha Khan,user14@gmail.com,03603172576,Karachi,Liaquatabad,20,Yes
15,Ahmed Ali,user15@gmail.com,03990314345,Karachi,Malir,9,No
16,Ali Hamza,user16@gmail.com,03532583059,Karachi,Liaquatabad,11,Yes
17,Ali Hamza,user17@gmail.com,03972892534,Karachi,Korangi,10,No
18,Saad Ahmed,user18@gmail.com,03681290392,Karachi,Korangi,10,Yes
19,Zainab Ali,user19@gmail.com,03710682762,Karachi,DHA,7,No
20,Ahmed Ali,user20@gmail.com,03201578322,Karachi,Korangi,17,No
21,Hassan Raza,user21@gmail.com,03291696183,Karachi,Clifton,18,No
22,Maryam Ahmed,user22@gmail.com,03120820459,Karachi,DHA,12,No
23,Fatima Noor,user23@gmail.com,03654244981,Karachi,PECHS,18,Yes
24,Usman Khan,user24@gmail.com,03733027328,Karachi,Clifton,20,No
25,Fatima Noor,user25@gmail.com,03574825994,Karachi,Liaquatabad,0,No
26,Usman Khan,user26@gmail.com,03280271609,Karachi,DHA,6,Yes
27,Ali Hamza,user27@gmail.com,03425911818,Karachi,North Nazimabad,0,Yes
28,Hassan Raza,user28@gmail.com,03214267908,Karachi,North Nazimabad,20,Yes
29,Hassan Raza,user29@gmail.com,03618514478,Karachi,Malir,11,No
30,Fatima Noor,user30@gmail.com,03839147076,Karachi,Clifton,6,Yes
31,Zainab Ali,user31@gmail.com,03220137292,Karachi,Clifton,2,No
32,Zainab Ali,user32@gmail.com,03865097459,Karachi,Malir,1,No
33,Zainab Ali,user33@gmail.com,03889540146,Karachi,Korangi,19,No
34,Saad Ahmed,user34@gmail.com,03166728645,Karachi,Gulshan-e-Iqbal,6,No
35,Ayesha Khan,user35@gmail.com,03945904474,Karachi,Malir,10,Yes
36,Maryam Ahmed,user36@gmail.com,03963846360,Karachi,North Nazimabad,5,No
37,Ayesha Khan,user37@gmail.com,03390560644,Karachi,Nazimabad,3,No
38,Saad Ahmed,user38@gmail.com,03233095509,Karachi,Saddar,7,Yes
39,Fatima Noor,user39@gmail.com,03442629000,Karachi,DHA,14,No
40,Fatima Noor,user40@gmail.com,03778060696,Karachi,DHA,2,Yes
41,Muhammad Bilal,user41@gmail.com,03398771299,Karachi,Clifton,7,No
42,Maryam Ahmed,user42@gmail.com,03650482199,Karachi,Saddar,12,No
43,Zainab Ali,user43@gmail.com,03197268376,Karachi,Gulshan-e-Iqbal,3,Yes
44,Hassan Raza,user44@gmail.com,03280628013,Karachi,Liaquatabad,19,No
45,Ayesha Khan,user45@gmail.com,03930978585,Karachi,Saddar,20,Yes
46,Ali Hamza,user46@gmail.com,03264371471,Karachi,Gulshan-e-Iqbal,12,Yes
47,Hassan Raza,user47@gmail.com,03603338741,Karachi,Gulshan-e-Iqbal,3,Yes
48,Ahmed Ali,user48@gmail.com,03889787130,Karachi,Saddar,18,No
